id;sender;recipient;message;status;type;link;params
1;before;ha adventurously but;../fake-data/blob/hipster.txt;SEND;TELEGRAM;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;meh mine;indeed considering;../fake-data/blob/hipster.txt;DELETED;EMAIL;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;papaya sharply consequently;questioningly;../fake-data/blob/hipster.txt;BLOCKED;EMAIL;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;huzzah buddy scornful;holder;../fake-data/blob/hipster.txt;NEW;EMAIL;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;foolhardy;except;../fake-data/blob/hipster.txt;BLOCKED;SMS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;whoever expedition;include ump mmm;../fake-data/blob/hipster.txt;READ;SMS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;quicker hourly repulsive;boo incandescence ick;../fake-data/blob/hipster.txt;NEW;SYSTEM;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;absentmindedly;arm;../fake-data/blob/hipster.txt;BLOCKED;SYSTEM;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;crossly zowie;pick assassination frenetically;../fake-data/blob/hipster.txt;DELETED;TELEGRAM;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;focused aboard;enormously scattering enrage;../fake-data/blob/hipster.txt;DELETED;SMS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
